#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACP5	RUNX2	9606.ENSP00000218758	9606.ENSP00000360493	0	0	0	0	0	0	0	0.762	0.762
ACP5	FOS	9606.ENSP00000218758	9606.ENSP00000306245	0	0	0	0	0.050	0	0	0.810	0.812
ADGRE2	LPAR1	9606.ENSP00000319883	9606.ENSP00000363553	0	0	0	0	0.073	0.165	0	0.963	0.969
AGPAT2	LPIN2	9606.ENSP00000360761	9606.ENSP00000261596	0	0	0	0	0	0	0.650	0.532	0.829
AKR1C1	UGT1A6	9606.ENSP00000370254	9606.ENSP00000303174	0	0	0	0	0.255	0	0.900	0.277	0.941
AKR1C1	UGT1A1	9606.ENSP00000370254	9606.ENSP00000304845	0	0	0	0	0.184	0	0.900	0.221	0.931
AKR1C1	UGT1A10	9606.ENSP00000370254	9606.ENSP00000343838	0	0	0	0	0.067	0	0.900	0.250	0.923
AKR1C1	UGT1A9	9606.ENSP00000370254	9606.ENSP00000346768	0	0	0	0	0.172	0	0.900	0.155	0.923
AKR1C1	UGT1A4	9606.ENSP00000370254	9606.ENSP00000362508	0	0	0	0	0.067	0	0.900	0.249	0.923
AKR1C1	UGT1A7	9606.ENSP00000370254	9606.ENSP00000362525	0	0	0	0	0.067	0	0.900	0.246	0.923
AKR1C1	UGT1A8	9606.ENSP00000370254	9606.ENSP00000362549	0	0	0	0	0.112	0	0.900	0.240	0.926
AKR1C1	AKR1C3	9606.ENSP00000370254	9606.ENSP00000369927	0	0	0.049	0.983	0.626	0.847	0.900	0.301	0.995
AKR1C1	AKR1C2	9606.ENSP00000370254	9606.ENSP00000370129	0	0	0.047	0.986	0.829	0.835	0.900	0.442	0.998
AKR1C1	CYP21A2	9606.ENSP00000370254	9606.ENSP00000496625	0	0	0	0	0.055	0.045	0.900	0.194	0.917
AKR1C1	CYP1A1	9606.ENSP00000370254	9606.ENSP00000378488	0	0	0	0	0.074	0.045	0.900	0.400	0.939
AKR1C2	UGT1A6	9606.ENSP00000370129	9606.ENSP00000303174	0	0	0	0	0.214	0	0.900	0.241	0.935
AKR1C2	UGT1A1	9606.ENSP00000370129	9606.ENSP00000304845	0	0	0	0	0.196	0	0.900	0.187	0.929
AKR1C2	UGT1A10	9606.ENSP00000370129	9606.ENSP00000343838	0	0	0	0	0.067	0	0.900	0.221	0.921
AKR1C2	UGT1A9	9606.ENSP00000370129	9606.ENSP00000346768	0	0	0	0	0.239	0	0.900	0.130	0.928
AKR1C2	UGT1A4	9606.ENSP00000370129	9606.ENSP00000362508	0	0	0	0	0.085	0	0.900	0.201	0.920
AKR1C2	UGT1A7	9606.ENSP00000370129	9606.ENSP00000362525	0	0	0	0	0.067	0	0.900	0.219	0.920
AKR1C2	UGT1A8	9606.ENSP00000370129	9606.ENSP00000362549	0	0	0	0	0.092	0	0.900	0.219	0.922
